Mercedes Benz E Class  2014 E300 for Sale, 1.63 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2014-for-sale-in-lahore-9677406, Lahore, 2014, 90,000 km, Petrol, 3500 cc, 
Mercedes Benz E Class  2011 E200 for Sale, 1.05 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-lahore-9620531, Lahore, 2011, 90,000 km, Petrol, 1800 cc, 
Mercedes Benz E Class 4th (W212) Generation 2013 E250 for Sale, 1.19 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2013-for-sale-in-lahore-9625197, Lahore, 2013, 60,651 km, Petrol, 2100 cc, 
Mercedes Benz C Class  2016 C180 Exclusive for Sale, 1.36 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2016-for-sale-in-lahore-9620943, Lahore, 2016, 70,000 km, Petrol, 1600 cc, 
Mercedes Benz C Class  2012 C180 for Sale, 70 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-karachi-9696364, Karachi, 2012, 112,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2017 C180 AMG for Sale, 1.55 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2017-for-sale-in-peshawar-9635465, Peshawar, 2017, 95,030 km, Petrol, 1600 cc, 
Mercedes Benz C Class Cabriolet  2019  for Sale, 2.26 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-cabriolet-2019-for-sale-in-lahore-9571586, Lahore, 2019, 53,375 km, Petrol, 1500 cc, 
Mercedes Benz C Class  2018 C180 for Sale, 1.66 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2018-for-sale-in-lahore-9575664, Lahore, 2018, 23,344 km, Petrol, 1600 cc, 
Mercedes Benz E Class 4th (W212) Generation 2013 E250 for Sale, 1.18 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2013-for-sale-in-islamabad-9701799, Islamabad, 2013, 111,000 km, Petrol, 2100 cc, 
Mercedes Benz B Class  2004  for Sale, 16 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-b-class-2004-for-sale-in-karachi-9701686, Karachi, 2004, 100,000 km, Diesel, 2200 cc, 
Mercedes Benz C Class  2011 C180 for Sale, 84 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2011-for-sale-in-lahore-9700842, Lahore, 2011, 64,000 km, Petrol, 1800 cc, 
Mercedes Benz E Class  2013 E250 for Sale, 1.4 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2013-for-sale-in-faisalabad-9701485, Faisalabad, 2013, 89,000 km, Petrol, 2100 cc, 
Mercedes Benz C Class  2018 C180 Avantgarde for Sale, 1.75 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2018-for-sale-in-karachi-9701397, Karachi, 2018, 9,900 km, Petrol, 1600 cc, 
Mercedes Benz C Class  2006 C180 for Sale, 32 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2006-for-sale-in-karachi-9533733, Karachi, 2006, 185,000 km, Petrol, 2000 cc, 
Mercedes Benz E Class  1996 E230 for Sale, 28 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-1996-for-sale-in-rawalpindi-9701136, Rawalpindi, 1996, 141,000 km, Petrol, 2300 cc, 
Mercedes Benz E Class  2005  for Sale, 68.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2005-for-sale-in-islamabad-9700642, Islamabad, 2005, 60,000 km, Petrol, 3500 cc, 
